match_id,match,liga,selection,data_status,sample_status,prior_status,shrinkage_applied,p_model,p_market,delta_model_market_pp,p_scoreline,p_strength,p_market_component,p_scoreline_raw,p_strength_raw,n_current_home,n_current_away,n_prior_home,n_prior_away,weight_current,weight_prior,haircut_total,p_adj,scoreline_strength_gap,model_top1,market_top1,scoreline_top1,strength_top1,scoreline_raw_top1,strength_raw_top1,pdraw_model,pdraw_market,lambda_home_scoreline,lambda_away_scoreline,lambda_home_scoreline_raw,lambda_away_scoreline_raw
8612487,Unirea Slobozia vs Chindia Târgovişte,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6494427962,0.5315240084,11.79187879,0.724285714,0.6176757486,0.5315240084,0.7096365098,0.533371255,3,4,77,77,0.0375,0.9625,0.045,0.6044427962,0.1149385232,0.4041892455,0.4684759916,0.4899666993,0.3823242514,0.4955071945,0.466628745,0.2452535508,0.2697286013,1.755908179,1.262795525,2.0325,1.524166667
8612487,Unirea Slobozia vs Chindia Târgovişte,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5958107545,0.7382045929,-14.23938384,0.5100333007,0.6249718239,0.7382045929,0.5044928055,0.6945170993,3,4,77,77,0.0375,0.9625,0.045,0.5508107545,0.1149385232,0.4041892455,0.4684759916,0.4899666993,0.3823242514,0.4955071945,0.466628745,0.2452535508,0.2697286013,1.755908179,1.262795525,2.0325,1.524166667
8612487,Unirea Slobozia vs Chindia Târgovişte,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7547464492,0.7302713987,2.447505048,0.7656809854,0.7573524274,0.7302713987,0.7858706847,0.7721116457,3,4,77,77,0.0375,0.9625,0.045,0.7097464492,0.1149385232,0.4041892455,0.4684759916,0.4899666993,0.3823242514,0.4955071945,0.466628745,0.2452535508,0.2697286013,1.755908179,1.262795525,2.0325,1.524166667
8612492,Slatina vs Viitorul Şelimbăr,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7452375631,0.8856465439,-14.04089808,0.7322433829,0.6308169427,0.8856465439,0.8543740873,0.8183909376,3,4,77,77,0.0375,0.9625,0.045,0.7002375631,0.1117723374,0.5196094892,0.6930512493,0.4990530149,0.3872806775,0.6778853084,0.595690718,0.2256280739,0.1925952945,1.773802469,1.240930556,2.423333333,1.0425
8612492,Slatina vs Viitorul Şelimbăr,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.4803905108,0.3069487507,17.34417602,0.5009469851,0.6127193225,0.3069487507,0.3221146916,0.404309282,3,4,77,77,0.0375,0.9625,0.045,0.4353905108,0.1117723374,0.5196094892,0.6930512493,0.4990530149,0.3872806775,0.6778853084,0.595690718,0.2256280739,0.1925952945,1.773802469,1.240930556,2.423333333,1.0425
8612492,Slatina vs Viitorul Şelimbăr,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7743719261,0.8074047055,-3.303277937,0.766809632,0.7564637348,0.8074047055,0.8235112211,0.7772997803,3,4,77,77,0.0375,0.9625,0.045,0.7293719261,0.1117723374,0.5196094892,0.6930512493,0.4990530149,0.3872806775,0.6778853084,0.595690718,0.2256280739,0.1925952945,1.773802469,1.240930556,2.423333333,1.0425
8612564,FC Bacău vs FC Cetatea Suceava,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7166750045,0.7863994884,-6.972448384,0.7286456105,0.6230093087,0.7863994884,0.7675808398,0.6535024761,4,3,77,77,0.04938271605,0.950617284,0.045,0.6716750045,0.1137359255,0.4762051571,0.5371988915,0.4937858875,0.380049962,0.5386455549,0.4157781468,0.2404698474,0.2492005969,1.751669753,1.241319444,1.829166667,1.124166667
8612564,FC Bacău vs FC Cetatea Suceava,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5237948429,0.4628011085,6.099373439,0.5062141125,0.619950038,0.4628011085,0.4613544451,0.5842218532,4,3,77,77,0.04938271605,0.950617284,0.045,0.4787948429,0.1137359255,0.4762051571,0.5371988915,0.4937858875,0.380049962,0.5386455549,0.4157781468,0.2404698474,0.2492005969,1.751669753,1.241319444,1.829166667,1.124166667
8612564,FC Bacău vs FC Cetatea Suceava,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7595301526,0.7507994031,0.8730749453,0.765140277,0.7570406532,0.7507994031,0.771064715,0.7622756707,4,3,77,77,0.04938271605,0.950617284,0.045,0.7145301526,0.1137359255,0.4762051571,0.5371988915,0.4937858875,0.380049962,0.5386455549,0.4157781468,0.2404698474,0.2492005969,1.751669753,1.241319444,1.829166667,1.124166667
8612599,CSM Satu Mare vs Afumaţi,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.646819146,0.5264623955,12.03567504,0.720871617,0.6190709543,0.5264623955,0.5757985275,0.5585503205,3,3,77,77,0.0375,0.9625,0.045,0.601819146,0.1088132222,0.4013996309,0.4735376045,0.4837268493,0.3809290457,0.4242014725,0.4414496795,0.2454195151,0.2632311978,1.7194375,1.25225,1.04,1.298333333
