Match_ID,Line,P_Raw,P_FINAL,Failure_Model,Risk_Score,Confidence_Final,Risk_Level_FINAL,Verdict_FINAL,Eligible
REPLAY_1,"O3,5",0.9915371058651653,0.8929839161391997,0.008462894134834698,9.972221126086591,90.0,2,PRUDENT,1
REPLAY_1,"O4,5",0.9754918504980158,0.8801557344731636,0.02450814950198421,10.854710171279814,80.0,2,PRUDENT,1
REPLAY_1,"O5,5",0.9425286079684091,0.8538016220707431,0.05747139203159091,12.667688510408183,80.0,2,PRUDENT,1
REPLAY_1,"O6,5",0.886095759482334,0.808683559706126,0.11390424051766601,15.771495177142313,80.0,2,PRUDENT,1
REPLAY_1,"O7,5",0.8032849120779367,0.7424762872063104,0.19671508792206327,23.256761948670686,80.0,2,PRUDENT,1
REPLAY_1,"O8,5",0.6969562036602551,0.5277777777777778,0.3030437963397449,35.47898417089291,80.0,2,WATCH,0
REPLAY_1,"U10,5",0.5490562286051273,0.44999999999999996,0.45094377139487274,39.756761948670686,80.0,2,WATCH,0
REPLAY_1,"U11,5",0.6654621932043587,0.5,0.33453780679564127,37.006761948670686,80.0,2,WATCH,0
REPLAY_1,"U12,5",0.7651053056379069,0.7,0.2348946943620931,26.006761948670682,80.0,2,WATCH,0
REPLAY_1,"U13,5",0.8438383834326583,0.75,0.15616161656734173,23.256761948670686,80.0,2,PRUDENT,1
REPLAY_1,"U14,5",0.9016057393773835,0.8,0.09839426062261647,20.506761948670682,80.0,2,PRUDENT,1
REPLAY_1,"U15,5",0.9411646686003423,0.8527111525459736,0.05883533139965769,12.742705175651857,80.0,2,PRUDENT,1
REPLAY_1,"U16,5",0.9665614009277086,0.873015840041703,0.03343859907229141,11.34588489764671,80.0,2,PRUDENT,1
REPLAY_1,"U17,5",0.9819069423906174,0.8852846004412986,0.018093057609382623,10.501880117186726,80.0,2,PRUDENT,1
REPLAY_2,"O3,5",0.9848338521727148,0.8886185742090396,0.015166147827285203,11.997179155900069,91.0,2,PRUDENT,1
REPLAY_2,"O4,5",0.9590104704917216,0.8679198426226394,0.04098952950827839,14.747179155900069,81.0,2,PRUDENT,1
REPLAY_2,"O5,5",0.9100926104371051,0.8287097318958616,0.0899073895628949,17.49717915590007,81.0,2,PRUDENT,1
REPLAY_2,"O6,5",0.8328707002743106,0.7668125098048737,0.16712929972568935,21.62217915590007,81.0,2,PRUDENT,1
REPLAY_2,"O7,5",0.7283825982799039,0.6830600716512569,0.2716174017200961,25.89995693367785,81.0,2,WATCH,0
REPLAY_2,"O8,5",0.6046736275233505,0.5839011461413416,0.3953263724766495,32.3651296421158,81.0,2,WATCH,0
REPLAY_2,"U10,5",0.6488305649215592,0.6192951393128758,0.3511694350784408,30.48329026701118,81.0,2,WATCH,0
REPLAY_2,"U11,5",0.7550096600227495,0.7044029929912349,0.2449903399772505,24.37217915590007,81.0,2,WATCH,0
REPLAY_2,"U12,5",0.8388170110998038,0.7715787752470478,0.16118298890019622,19.788845822566735,81.0,2,PRUDENT,1
REPLAY_2,"U13,5",0.8998778971392085,0.8205221284519326,0.10012210286079148,18.26106804478896,81.0,2,PRUDENT,1
REPLAY_2,"U14,5",0.9411882977425086,0.8536344800555078,0.05881170225749144,13.856822780062098,81.0,2,PRUDENT,1
REPLAY_2,"U15,5",0.9672733966459797,0.874542991081585,0.032726603354020334,12.422142340371188,81.0,2,PRUDENT,1
REPLAY_2,"U16,5",0.9827151583194956,0.8869203351509918,0.01728484168050437,12.149956933677847,81.0,2,PRUDENT,1
REPLAY_2,"U17,5",0.9913186008926017,0.893816424545465,0.008681399107398291,12.149956933677847,81.0,2,PRUDENT,1
REPLAY_3,"O3,5",0.9725695938562594,0.8589284207736754,0.027430406143740593,14.749014830936414,90.0,2,PRUDENT,1
REPLAY_3,"O4,5",0.9367209822461907,0.831700504040538,0.06327901775380929,19.351453604141792,80.0,2,PRUDENT,1
REPLAY_3,"O5,5",0.878281235542573,0.7873140554254727,0.12171876445742702,22.407009159697346,80.0,2,PRUDENT,1
REPLAY_3,"O6,5",0.7964949592143412,0.7251953338972725,0.2035050407856588,26.99034249303068,80.0,2,PRUDENT,1
REPLAY_3,"O7,5",0.6955115579273944,0.6111111111111112,0.3044884420726056,34.629231381919574,80.0,2,WATCH,0
REPLAY_3,"O8,5",0.5833046324195394,0.5,0.41669536758046055,40.74034249303068,80.0,3,WATCH,0
REPLAY_3,"U10,5",0.637434146611185,0.55,0.362565853388815,37.99034249303068,80.0,2,WATCH,0
REPLAY_3,"U11,5",0.7309474627618129,0.675410371654166,0.2690525372381871,29.74034249303068,80.0,2,WATCH,0
REPLAY_3,"U12,5",0.8078890118662737,0.7,0.1921109881337263,29.74034249303068,80.0,2,WATCH,0
REPLAY_3,"U13,5",0.8677822182157632,0.7793397892903275,0.13221778178423682,20.512320491163706,80.0,2,PRUDENT,1
REPLAY_3,"U14,5",0.9121271418521499,0.8130208674152541,0.08787285814785006,19.351453604141792,80.0,2,PRUDENT,1
REPLAY_3,"U15,5",0.9434987370816682,0.836848378281954,0.056501262918331796,17.823675826364013,80.0,2,PRUDENT,1
REPLAY_3,"U16,5",0.9647877995861487,0.8530179534806696,0.03521220041385131,15.177013515792504,80.0,2,PRUDENT,1
REPLAY_3,"U17,5",0.978693099781977,0.8635793766119061,0.02130690021802295,14.76812027080846,80.0,2,PRUDENT,1
